PadID	Sector	Row  PadInRow     gCenX       gCenZ       gx[0]       gz[0]       gx[1]       gz[1]       gx[2]       gz[2]       gx[3]       gz[3]       lCenX       lCenZ       lx[0]       lz[0]       lx[1]       lz[1]       lx[2]       lz[2]       lx[3]       lz[3]
69	0	1        28      12.145     -37.105       11.43    -36.7458       12.86    -36.9642       12.86    -37.4936       11.43    -37.2164      37.105      12.145     36.7458       11.43     36.9642       12.86     37.4936       12.86     37.2164       11.43
70	0	1        29      12.145     -37.605       11.43    -37.2164       12.86    -37.4936       12.86    -38.0231       11.43    -37.6869      37.605      12.145     37.2164       11.43     37.4936       12.86     38.0231       12.86     37.6869       11.43
71	0	1        30      12.145     -38.105       11.43    -37.6869       12.86    -38.0231       12.86    -38.5525       11.43    -38.1575      38.105      12.145     37.6869       11.43     38.0231       12.86     38.5525       12.86     38.1575       11.43
72	0	1        31      12.145     -38.605       11.43    -38.1575       12.86    -38.5525       12.86     -39.082       11.43     -38.628      38.605      12.145     38.1575       11.43     38.5525       12.86      39.082       12.86      38.628       11.43
73	0	1        32      12.145     -39.105       11.43     -38.628       12.86     -39.082       12.86    -39.6114       11.43    -39.0986      39.105      12.145      38.628       11.43      39.082       12.86     39.6114       12.86     39.0986       11.43
74	0	1        33      12.145     -39.605       11.43    -39.0986       12.86    -39.6114       12.86    -40.1408       11.43    -39.5692      39.605      12.145     39.0986       11.43     39.6114       12.86     40.1408       12.86     39.5692       11.43
75	0	1        34      12.145     -40.105       11.43    -39.5692       12.86    -40.1408       12.86    -40.6703       11.43    -40.0397      40.105      12.145     39.5692       11.43     40.1408       12.86     40.6703       12.86     40.0397       11.43
76	0	1        35      12.145     -40.605       11.43    -40.0397       12.86    -40.6703       12.86    -41.1997       11.43    -40.5103      40.605      12.145     40.0397       11.43     40.6703       12.86     41.1997       12.86     40.5103       11.43
77	0	1        36      12.145     -41.105       11.43    -40.5103       12.86    -41.1997       12.86    -41.7291       11.43    -40.9809      41.105      12.145     40.5103       11.43     41.1997       12.86     41.7291       12.86     40.9809       11.43
78	0	1        37      12.145     -41.605       11.43    -40.9809       12.86    -41.7291       12.86    -42.2586       11.43    -41.4514      41.605      12.145     40.9809       11.43     41.7291       12.86     42.2586       12.86     41.4514       11.43
79	0	1        38      12.145     -42.105       11.43    -41.4514       12.86    -42.2586       12.86     -42.788       11.43     -41.922      42.105      12.145     41.4514       11.43     42.2586       12.86      42.788       12.86      41.922       11.43
80	0	1        39      12.145     -42.605       11.43     -41.922       12.86     -42.788       12.86    -43.3174       11.43    -42.3926      42.605      12.145      41.922       11.43      42.788       12.86     43.3174       12.86     42.3926       11.43
81	0	1        40      12.145     -43.105       11.43    -42.3926       12.86    -43.3174       12.86    -43.8469       11.43    -42.8631      43.105      12.145     42.3926       11.43     43.3174       12.86     43.8469       12.86     42.8631       11.43
82	0	1        41      12.145     -43.605       11.43    -42.8631       12.86    -43.8469       12.86    -44.3763       11.43    -43.3337      43.605      12.145     42.8631       11.43     43.8469       12.86     44.3763       12.86     43.3337       11.43
83	0	1        42      12.145     -44.105       11.43    -43.3337       12.86    -44.3763       12.86    -44.9057       11.43    -43.8043      44.105      12.145     43.3337       11.43     44.3763       12.86     44.9057       12.86     43.8043       11.43
84	0	1        43      12.145     -44.605       11.43    -43.8043       12.86    -44.9057       12.86    -45.4352       11.43    -44.2748      44.605      12.145     43.8043       11.43     44.9057       12.86     45.4352       12.86     44.2748       11.43
85	0	2         0      13.575     -21.675       12.86      -22.14       14.29      -20.71       14.29    -21.2363       12.86    -22.6137      21.675      13.575       22.14       12.86       20.71       14.29     21.2363       14.29     22.6137       12.86
